NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
201012028,2020,3.81,3.81,159.0,153.0,153.0,3.81,3.72,3.79,3.79,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012030,2020,3.76,3.76,161.0,153.0,153.0,3.71,3.72,3.82,3.76,3.83,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012031,2020,3.74,3.74,161.0,153.0,153.0,3.82,3.63,3.69,3.79,3.77,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012034,2020,3.72,3.72,165.0,153.0,153.0,3.7,3.63,3.69,3.77,3.89,22.0,43.0,66.0,90.0,114.0,1,0,Tidak Tepat Waktu
201012041,2020,3.78,3.78,161.0,153.0,153.0,3.68,3.71,3.84,3.69,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012042,2020,3.8,3.8,159.0,153.0,153.0,3.88,3.76,3.82,3.73,3.89,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012044,2020,3.73,3.73,165.0,153.0,153.0,3.87,2.98,3.74,3.62,3.78,22.0,43.0,66.0,90.0,114.0,2,0,Tidak Tepat Waktu
201012045,2020,3.75,3.75,161.0,153.0,153.0,3.72,3.58,3.69,3.74,3.89,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012046,2020,3.78,3.78,159.0,153.0,153.0,3.7,3.7,3.85,3.75,3.89,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012047,2020,3.76,3.76,159.0,153.0,153.0,3.71,3.57,3.85,3.76,3.88,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012048,2020,3.69,3.69,165.0,153.0,153.0,3.68,3.5,3.73,3.75,3.79,22.0,43.0,66.0,90.0,114.0,1,0,Tidak Tepat Waktu
201012050,2020,3.73,3.73,159.0,153.0,153.0,3.78,3.58,3.81,3.79,3.74,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012052,2020,3.78,3.78,161.0,153.0,153.0,3.83,3.58,3.84,3.78,3.84,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012054,2020,3.74,3.74,159.0,153.0,153.0,3.71,3.65,3.75,3.79,3.81,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012062,2020,3.78,3.78,159.0,153.0,153.0,3.78,3.69,3.84,3.82,3.86,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012063,2020,3.75,3.75,161.0,153.0,153.0,3.75,3.65,3.83,3.72,3.8,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012064,2020,3.76,3.76,159.0,153.0,153.0,3.75,3.63,3.88,3.68,3.85,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012067,2020,3.84,3.84,159.0,153.0,153.0,3.89,3.76,3.89,3.94,3.84,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012069,2020,3.79,3.79,161.0,153.0,153.0,3.81,3.63,3.79,3.76,3.86,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012070,2020,3.79,3.79,161.0,153.0,153.0,3.82,3.7,3.86,3.78,3.84,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012072,2020,3.76,3.76,165.0,153.0,153.0,3.72,3.81,3.66,3.68,3.76,22.0,43.0,66.0,90.0,114.0,1,0,Tidak Tepat Waktu
201012073,2020,3.74,3.74,159.0,153.0,153.0,3.64,3.77,3.66,3.84,3.85,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012074,2020,3.79,3.79,163.0,153.0,153.0,3.75,3.79,3.81,3.93,3.79,22.0,45.0,68.0,92.0,116.0,0,0,Tidak Tepat Waktu
201012076,2020,3.76,3.76,161.0,153.0,153.0,3.73,3.71,3.81,3.79,3.84,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012078,2020,3.83,3.83,161.0,153.0,153.0,3.78,3.77,3.87,3.84,3.91,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
201012079,2020,3.73,3.73,161.0,153.0,153.0,3.72,3.47,3.74,3.72,3.86,22.0,43.0,66.0,90.0,114.0,0,0,Tidak Tepat Waktu
